6F1O,A,0.96,1,	d2vb1a_	100.000	129	0	0	1	129	1	129	4.66e-95	265
5Y2S,A,0.90,1,	d3k34a_	100.000	258	0	0	3	260	1	258	0.0	532
5KWM,A,0.78,1,	d4i8ha_	39.056	233	118	8	1	222	1	220	2.77e-40	133
5XP6,A,0.95,1,	d4hl2a_	99.177	243	2	0	1	243	1	243	0.0	495
5ZIM,A,1.25,1,	d1m0ka_	97.797	227	0	1	1	227	1	222	5.30e-156	426
5F66,A,1.15,1,	d2wfia_	52.326	172	69	3	4	164	3	172	5.79e-55	166
5JID,A,1.20,1,	d1f86a_	99.130	115	1	0	10	124	1	115	8.05e-84	235
5YOK,A,0.85,1,	d2hs1a_	98.990	99	1	0	2	100	1	99	1.46e-68	195
5X9L,A,0.90,1,	d2vhka_	99.515	206	1	0	1	206	1	206	1.40e-153	419
5JB9,E,1.30,1,	d2y5fl_	48.077	52	26	1	1	52	3	53	5.29e-15	57.0
5QOQ,A,1.49,1,	d2fvva1	43.182	44	25	0	14	57	22	65	0.001	32.3
6ETK,A,0.85,1,	d1dy5a_	99.194	124	1	0	1	124	1	124	1.08e-91	255
6II1,A,1.34,1,	d3qm9a_	32.174	115	62	4	5	109	1	109	1.83e-07	42.4
5MAE,A,1.00,1,	d2xu3a_	100.000	220	0	0	1	220	1	220	2.46e-169	459
5NGQ,A,1.17,1,	d2bv4a_	60.526	114	44	1	1	114	1	113	5.73e-46	139
5YCE,A,0.77,1,	d3qm9a_	42.177	147	81	3	7	153	2	144	2.32e-33	110
6Q9L,A,1.13,1,	d4j7da_	77.381	84	19	0	10	93	2	85	1.49e-46	139
6CKZ,A,1.50,1,	e1qtn.1A	41.447	152	79	3	34	175	1	152	2.81e-36	118
5SY4,A,0.98,1,	d2rk3a_	40.000	190	105	5	5	190	2	186	7.32e-34	114
5N8B,A,1.03,1,	d2f01a_	100.000	121	0	0	38	158	1	121	1.53e-86	245
4ZK1,A,1.75,1,	d2wn9a_	37.500	184	112	2	31	212	26	208	3.01e-45	145
5MTE,A,1.40,1,	d1xeoa_	38.261	115	67	2	23	134	26	139	9.31e-21	77.8
5P98,A,1.20,1,	d3u81a_	99.083	218	2	0	2	219	1	218	5.03e-164	446
5M2T,A,1.03,1,	d3uawa_	33.505	194	112	4	22	212	16	195	4.92e-24	91.7
6MYE,A,1.10,1,	d1r6ja_	24.528	53	40	0	40	92	27	79	0.003	28.9
6ICG,A,1.15,1,	d1lkka_	40.230	87	45	3	3	82	6	92	9.46e-13	54.3
6J93,A,0.95,1,	d4lwra_	100.000	196	0	0	1	196	1	196	4.67e-146	399
6MQD,A,1.60,1,	d1mc2a_	78.992	119	24	1	1	119	1	118	1.40e-67	194
6B1K,A,1.17,1,	d3b64a_	22.892	83	62	1	31	113	32	112	3.06e-07	40.4
6FG8,A,1.25,1,	d1ozna_	35.294	68	42	1	86	151	168	235	1.31e-04	37.0
